x:-0.015255 y:0.023379 z:0.042969
x:-0.014914 y:0.023460 z:0.043115
x:-0.014571 y:0.023539 z:0.043258
x:-0.014226 y:0.023615 z:0.043396
x:-0.013880 y:0.023690 z:0.043531
x:-0.013533 y:0.023763 z:0.043663
x:-0.013184 y:0.023833 z:0.043791
x:-0.012833 y:0.023902 z:0.043915
x:-0.012481 y:0.023969 z:0.044036
x:-0.012128 y:0.024034 z:0.044153
x:-0.011774 y:0.024097 z:0.044266
x:-0.011418 y:0.024157 z:0.044377
x:-0.011061 y:0.024216 z:0.044483
x:-0.010704 y:0.024273 z:0.044586
x:-0.010345 y:0.024328 z:0.044686
x:-0.009984 y:0.024382 z:0.044782
x:-0.009623 y:0.024433 z:0.044875
x:-0.009261 y:0.024482 z:0.044964
x:-0.008898 y:0.024530 z:0.045050
x:-0.008535 y:0.024575 z:0.045133
x:-0.008170 y:0.024619 z:0.045212
x:-0.007804 y:0.024661 z:0.045288
x:-0.007438 y:0.024701 z:0.045360
x:-0.007071 y:0.024739 z:0.045429
x:-0.006703 y:0.024775 z:0.045495
x:-0.006335 y:0.024809 z:0.045557
x:-0.005966 y:0.024842 z:0.045616
x:-0.005597 y:0.024873 z:0.045671
x:-0.005226 y:0.024902 z:0.045724
x:-0.004856 y:0.024929 z:0.045773
x:-0.004485 y:0.024954 z:0.045819
x:-0.004113 y:0.024977 z:0.045861
x:-0.003741 y:0.024999 z:0.045900
x:-0.003369 y:0.025018 z:0.045936
x:-0.002996 y:0.025036 z:0.045969
x:-0.002623 y:0.025053 z:0.045998
x:-0.002249 y:0.025067 z:0.046024
x:-0.001875 y:0.025079 z:0.046047
x:-0.001502 y:0.025090 z:0.046066
x:-0.001127 y:0.025099 z:0.046082
x:-0.000753 y:0.025106 z:0.046095
x:-0.000378 y:0.025111 z:0.046105
x:-0.000004 y:0.025115 z:0.046111
x:0.000371 y:0.025116 z:0.046114
x:0.000746 y:0.025116 z:0.046114
x:0.001121 y:0.025114 z:0.046111
x:0.001495 y:0.025110 z:0.046104
x:0.001870 y:0.025105 z:0.046094
x:0.002245 y:0.025097 z:0.046080
x:0.002620 y:0.025088 z:0.046064
x:0.002994 y:0.025077 z:0.046044
x:0.003369 y:0.025064 z:0.046021
x:0.003743 y:0.025050 z:0.045994
x:0.004117 y:0.025033 z:0.045964
x:0.004491 y:0.025015 z:0.045931
x:0.004864 y:0.024995 z:0.045895
x:0.005237 y:0.024973 z:0.045855
x:0.005610 y:0.024949 z:0.045811
x:0.005983 y:0.024923 z:0.045765
x:0.006355 y:0.024896 z:0.045715
x:0.006726 y:0.024866 z:0.045661
x:0.007098 y:0.024835 z:0.045605
x:0.007468 y:0.024802 z:0.045544
x:0.007838 y:0.024767 z:0.045481
x:0.008208 y:0.024730 z:0.045414
x:0.008577 y:0.024691 z:0.045343
x:0.008945 y:0.024650 z:0.045269
x:0.009312 y:0.024608 z:0.045192
x:0.009679 y:0.024563 z:0.045110
x:0.010045 y:0.024517 z:0.045026
x:0.010410 y:0.024468 z:0.044938
x:0.010774 y:0.024418 z:0.044846
x:0.011137 y:0.024366 z:0.044751
x:0.011500 y:0.024312 z:0.044652
x:0.011861 y:0.024255 z:0.044550
x:0.012221 y:0.024197 z:0.044444
x:0.012580 y:0.024137 z:0.044334
x:0.012938 y:0.024075 z:0.044221
x:0.013295 y:0.024011 z:0.044104
x:0.013650 y:0.023945 z:0.043983
x:0.014005 y:0.023877 z:0.043859
x:0.014357 y:0.023807 z:0.043731
x:0.014709 y:0.023734 z:0.043599
x:0.015059 y:0.023660 z:0.043463
x:0.015407 y:0.023584 z:0.043324
x:0.015754 y:0.023506 z:0.043181
x:0.016099 y:0.023425 z:0.043034
x:0.016442 y:0.023343 z:0.042883
x:0.016784 y:0.023258 z:0.042728
x:0.017123 y:0.023171 z:0.042569
x:0.017461 y:0.023082 z:0.042407
x:0.017797 y:0.022991 z:0.042240
x:0.018130 y:0.022898 z:0.042070
x:0.018462 y:0.022803 z:0.041895
x:0.018791 y:0.022706 z:0.041717
x:0.019118 y:0.022606 z:0.041535
x:0.019443 y:0.022505 z:0.041348
x:0.019765 y:0.022401 z:0.041158
x:0.020085 y:0.022295 z:0.040964
x:0.020402 y:0.022187 z:0.040765
x:0.020717 y:0.022076 z:0.040563
x:0.021028 y:0.021964 z:0.040356
x:0.021337 y:0.021849 z:0.040145
x:0.021643 y:0.021732 z:0.039931
x:0.021946 y:0.021613 z:0.039712
x:0.021946 y:0.021613 z:0.039712
x:0.021946 y:0.021613 z:0.039712
x:0.021946 y:0.021613 z:0.039712
x:-0.021748 y:0.021029 z:0.039471
x:-0.021456 y:0.021152 z:0.039699
